id,user_id,ip,action_time,action
301341,,225.83.203.197,2023-06-02 12:18:23,"('id': 387058, 'action': 'search', 'time': '2023-06-02 12:18:23')"
419171,3807.0,153.227.11.133,2023-07-19 16:02:09,"('id': 989439, 'action': 'click', 'time': '2023-07-19 16:02:09')"
258166,,108.8.64.235,2023-05-15 08:44:46,"('id': 287010, 'action': 'search', 'time': '2023-05-15 08:44:46')"
721127,,114.209.198.244,2023-10-20 07:50:10,"('id': 433901, 'action': 'search', 'time': '2023-10-20 07:50:10')"
238694,,2.127.154.249,2023-05-07 09:18:58,"('id': 724671, 'action': 'search', 'time': '2023-05-07 09:18:58')"
794844,,90.80.44.146,2023-11-10 00:51:45,"('id': 795148, 'action': 'search', 'time': '2023-11-10 00:51:45')"
69661,96680.0,115.163.87.121,2023-02-19 20:55:59,"('id': 665461, 'action': 'click', 'time': '2023-02-19 20:55:59')"
25527,,85.132.234.191,2023-01-17 14:15:10,"('id': 168718, 'action': 'search', 'time': '2023-01-17 14:15:10')"
917760,,25.127.191.190,2023-12-09 18:36:47,"('id': 555637, 'action': 'search', 'time': '2023-12-09 18:36:47')"
290857,,233.21.85.118,,"('id': 894607, 'action': 'click', 'time': '2023-05-29 05:20:32')"
806082,,42.64.116.98,2023-11-12 22:01:16,"('id': 137621, 'action': 'search', 'time': '2023-11-12 22:01:16')"
704270,,99.35.179.34,2023-10-15 18:11:54,"('id': 298736, 'action': 'search', 'time': '2023-10-15 18:11:54')"
441936,,102.135.195.214,,"('id': 954920, 'action': 'click', 'time': '2023-07-28 23:31:46')"
35042,,140.117.124.116,2023-01-27 08:12:42,"('id': 203134, 'action': 'search', 'time': '2023-01-27 08:12:42')"
291582,,244.63.223.108,2023-05-29 12:12:00,"('id': 693961, 'action': 'click', 'time': '2023-05-29 12:12:00')"
911239,,224.196.162.41,,"('id': 206401, 'action': 'click', 'time': '2023-12-08 09:17:20')"
3635,23531.0,244.143.138.0,2021-02-22 10:51:12,"('id': 74603, 'action': 'search', 'time': '2021-02-22 10:51:12')"
110528,,118.131.39.92,2023-03-12 15:47:50,"('id': 40217, 'action': 'search', 'time': '2023-03-12 15:47:50')"
811923,,68.141.133.223,2023-11-14 08:18:23,"('id': 715174, 'action': 'search', 'time': '2023-11-14 08:18:23')"
321841,,111.207.225.160,2023-06-10 15:17:14,"('id': 176342, 'action': 'search', 'time': '2023-06-10 15:17:14')"
61471,,169.7.236.221,2023-02-15 00:23:18,"('id': 968280, 'action': 'search', 'time': '2023-02-15 00:23:18')"
418140,58783.0,148.208.221.58,,"('id': 358317, 'action': 'search', 'time': '2023-07-19 06:28:48')"
871267,,46.238.129.80,2023-11-28 09:14:49,"('id': 729151, 'action': 'search', 'time': '2023-11-28 09:14:49')"
775586,,98.158.222.1,2023-11-05 03:26:14,"('id': 544348, 'action': 'search', 'time': '2023-11-05 03:26:14')"
351975,,58.137.249.3,2023-06-22 20:09:15,"('id': 929606, 'action': 'search', 'time': '2023-06-22 20:09:15')"
162060,13882.0,30.212.245.10,2023-04-04 14:01:45,"('id': 718200, 'action': 'search', 'time': '2023-04-04 14:01:45')"
970570,,18.210.86.109,2023-12-21 10:10:54,"('id': 357821, 'action': 'search', 'time': '2023-12-21 10:10:54')"
421613,52811.0,26.60.80.230,2023-07-20 16:29:03,"('id': 85390, 'action': 'search', 'time': '2023-07-20 16:29:03')"
103762,33295.0,17.59.143.91,2023-03-09 10:45:15,"('id': 596804, 'action': 'search', 'time': '2023-03-09 10:45:15')"
332438,,124.153.52.188,2023-06-14 21:19:56,"('id': 245096, 'action': 'search', 'time': '2023-06-14 21:19:56')"
981367,,93.40.0.82,2023-12-23 21:55:08,"('id': 42210, 'action': 'search', 'time': '2023-12-23 21:55:08')"
453579,,176.240.21.179,,"('id': 803855, 'action': 'search', 'time': '2023-08-02 14:39:16')"
547411,,6.13.151.113,,"('id': 897462, 'action': 'search', 'time': '2023-09-04 13:50:14')"
225595,,18.181.214.108,2023-05-01 22:00:34,"('id': 697957, 'action': 'search', 'time': '2023-05-01 22:00:34')"
494941,,84.7.113.151,2023-08-17 17:23:45,"('id': 293135, 'action': 'search', 'time': '2023-08-17 17:23:45')"
830240,,198.103.152.111,2023-11-18 14:17:28,"('id': 466305, 'action': 'search', 'time': '2023-11-18 14:17:28')"
458540,,219.13.125.219,2023-08-04 10:06:55,"('id': 793375, 'action': 'search', 'time': '2023-08-04 10:06:55')"
658459,72252.0,38.85.98.189,2023-10-03 11:23:25,"('id': 585195, 'action': 'click', 'time': '2023-10-03 11:23:25')"
170742,48673.0,227.161.245.31,2023-04-08 04:47:38,"('id': 798172, 'action': 'search', 'time': '2023-04-08 04:47:38')"
645297,,173.153.138.57,2023-09-29 19:34:37,"('id': 26195, 'action': 'search', 'time': '2023-09-29 19:34:37')"
636300,,117.109.128.65,2023-09-27 12:39:38,"('id': 375377, 'action': 'click', 'time': '2023-09-27 12:39:38')"
709284,,44.119.59.237,2023-10-17 01:38:11,"('id': 253462, 'action': 'click', 'time': '2023-10-17 01:38:11')"
492576,,55.11.181.173,2023-08-16 21:10:26,"('id': 693744, 'action': 'search', 'time': '2023-08-16 21:10:26')"
7808,,244.143.138.0,2021-03-29 20:35:23,"('id': 748507, 'action': 'click', 'time': '2021-03-29 20:35:23')"
412119,,178.252.31.47,2023-07-16 18:39:17,"('id': 755499, 'action': 'search', 'time': '2023-07-16 18:39:17')"
863842,22130.0,123.39.91.33,2023-11-26 15:23:37,"('id': 942361, 'action': 'search', 'time': '2023-11-26 15:23:37')"
713283,,200.222.179.78,2023-10-18 03:12:19,"('id': 611252, 'action': 'search', 'time': '2023-10-18 03:12:19')"
112079,,224.98.47.135,2023-03-13 10:07:06,"('id': 809999, 'action': 'search', 'time': '2023-03-13 10:07:06')"
767512,,127.73.132.227,2023-11-03 01:41:36,"('id': 985370, 'action': 'search', 'time': '2023-11-03 01:41:36')"
327738,,67.128.146.242,,"('id': 526936, 'action': 'search', 'time': '2023-06-12 23:03:27')"
493899,67904.0,141.22.152.60,2023-08-17 08:12:47,"('id': 708553, 'action': 'search', 'time': '2023-08-17 08:12:47')"
993421,,63.52.52.204,,"('id': 790116, 'action': 'click', 'time': '2023-12-26 18:37:04')"
426995,85249.0,214.200.60.178,2023-07-22 20:41:25,"('id': 632436, 'action': 'click', 'time': '2023-07-22 20:41:25')"
308089,,50.56.159.91,2023-06-05 04:44:42,"('id': 189547, 'action': 'search', 'time': '2023-06-05 04:44:42')"
668492,,97.54.98.212,,"('id': 112091, 'action': 'search', 'time': '2023-10-06 01:57:09')"
854997,,140.186.42.86,2023-11-24 14:20:19,"('id': 551716, 'action': 'search', 'time': '2023-11-24 14:20:19')"
607986,18111.0,253.65.213.217,2023-09-20 11:10:21,"('id': 692586, 'action': 'click', 'time': '2023-09-20 11:10:21')"
1006600,,122.7.242.122,2023-12-29 19:25:39,"('id': 265332, 'action': 'search', 'time': '2023-12-29 19:25:39')"
302400,84309.0,106.238.230.53,2023-06-02 22:50:56,"('id': 766995, 'action': 'search', 'time': '2023-06-02 22:50:56')"
28917,,185.132.196.88,2023-01-21 09:32:31,"('id': 662453, 'action': 'search', 'time': '2023-01-21 09:32:31')"
797454,,149.221.67.222,,"('id': 411840, 'action': 'click', 'time': '2023-11-10 16:57:37')"
761850,,240.43.22.89,2023-11-01 11:59:03,"('id': 138827, 'action': 'click', 'time': '2023-11-01 11:59:03')"
7579,3537.0,244.143.138.0,2021-03-27 18:03:15,"('id': 180741, 'action': 'search', 'time': '2021-03-27 18:03:15')"
251616,92107.0,63.113.137.115,2023-05-12 17:59:12,"('id': 949941, 'action': 'search', 'time': '2023-05-12 17:59:12')"
295130,71473.0,102.197.198.2,2023-05-30 22:00:35,"('id': 835345, 'action': 'search', 'time': '2023-05-30 22:00:35')"
45575,,254.85.65.53,,"('id': 995811, 'action': 'search', 'time': '2023-02-04 13:56:08')"
548142,,166.15.166.212,2023-09-04 18:07:16,"('id': 663967, 'action': 'search', 'time': '2023-09-04 18:07:16')"
94385,,254.110.172.96,2023-03-04 23:39:20,"('id': 850989, 'action': 'search', 'time': '2023-03-04 23:39:20')"
246099,66049.0,240.78.58.206,2023-05-10 11:27:21,"('id': 615674, 'action': 'search', 'time': '2023-05-10 11:27:21')"
757245,,149.54.150.83,,"('id': 37642, 'action': 'click', 'time': '2023-10-30 18:51:04')"
296950,18418.0,237.68.188.30,2023-05-31 17:20:27,"('id': 811702, 'action': 'search', 'time': '2023-05-31 17:20:27')"
664925,,80.149.185.208,2023-10-05 02:59:39,"('id': 365456, 'action': 'search', 'time': '2023-10-05 02:59:39')"
989561,,70.175.229.68,,"('id': 634257, 'action': 'search', 'time': '2023-12-25 21:24:01')"
537487,85243.0,66.226.99.43,2023-09-01 17:42:38,"('id': 940651, 'action': 'search', 'time': '2023-09-01 17:42:38')"
537392,62588.0,246.209.22.76,2023-09-01 17:11:55,"('id': 653262, 'action': 'click', 'time': '2023-09-01 17:11:55')"
85085,,77.197.145.219,2023-02-28 04:34:09,"('id': 323517, 'action': 'search', 'time': '2023-02-28 04:34:09')"
276373,82028.0,238.34.218.96,2023-05-23 05:25:10,"('id': 173144, 'action': 'search', 'time': '2023-05-23 05:25:10')"
798856,,33.144.219.139,,"('id': 619460, 'action': 'search', 'time': '2023-11-11 01:44:27')"
259621,,32.81.121.170,2023-05-16 00:58:28,"('id': 723324, 'action': 'search', 'time': '2023-05-16 00:58:28')"
174730,,168.111.163.251,,"('id': 152599, 'action': 'click', 'time': '2023-04-09 20:03:40')"
665037,73385.0,130.49.106.217,2023-10-05 03:40:58,"('id': 363762, 'action': 'search', 'time': '2023-10-05 03:40:58')"
165952,16024.0,77.123.61.132,,"('id': 997989, 'action': 'search', 'time': '2023-04-06 05:14:30')"
250704,,1.199.127.172,2023-05-12 08:26:54,"('id': 918535, 'action': 'search', 'time': '2023-05-12 08:26:54')"
167568,54970.0,173.198.83.13,2023-04-06 21:13:43,"('id': 19824, 'action': 'search', 'time': '2023-04-06 21:13:43')"
303193,63035.0,178.137.49.52,,"('id': 777583, 'action': 'search', 'time': '2023-06-03 06:34:40')"
182492,,254.120.80.10,2023-04-13 06:10:09,"('id': 648969, 'action': 'search', 'time': '2023-04-13 06:10:09')"
451258,26795.0,43.0.231.194,,"('id': 20785, 'action': 'click', 'time': '2023-08-01 17:57:47')"
224754,48568.0,218.169.33.56,,"('id': 668007, 'action': 'click', 'time': '2023-05-01 13:54:18')"
129447,,90.131.27.34,2023-03-21 12:22:17,"('id': 631822, 'action': 'search', 'time': '2023-03-21 12:22:17')"
942791,,51.108.246.14,2023-12-15 08:29:52,"('id': 704385, 'action': 'search', 'time': '2023-12-15 08:29:52')"
205733,,57.125.188.136,,"('id': 606850, 'action': 'search', 'time': '2023-04-23 12:20:19')"
902945,56226.0,145.115.76.147,2023-12-06 11:49:12,"('id': 493133, 'action': 'search', 'time': '2023-12-06 11:49:12')"
776406,,112.148.238.51,2023-11-05 07:47:42,"('id': 547641, 'action': 'search', 'time': '2023-11-05 07:47:42')"
89446,,30.123.23.124,2023-03-02 09:49:37,"('id': 882520, 'action': 'search', 'time': '2023-03-02 09:49:37')"
706706,,79.164.143.7,2023-10-16 08:51:39,"('id': 952271, 'action': 'search', 'time': '2023-10-16 08:51:39')"
371863,,26.216.155.157,,"('id': 403463, 'action': 'search', 'time': '2023-06-30 22:33:55')"
216137,10184.0,226.175.93.147,2023-04-27 21:54:33,"('id': 403692, 'action': 'click', 'time': '2023-04-27 21:54:33')"
49652,73337.0,97.40.219.172,,"('id': 364639, 'action': 'search', 'time': '2023-02-07 12:16:45')"
129854,96326.0,125.127.22.227,,"('id': 935088, 'action': 'search', 'time': '2023-03-21 16:44:39')"
185269,,253.0.116.56,2023-04-14 11:02:05,"('id': 750415, 'action': 'search', 'time': '2023-04-14 11:02:05')"
28076,32067.0,169.7.124.100,2023-01-20 12:51:41,"('id': 821714, 'action': 'search', 'time': '2023-01-20 12:51:41')"
465253,,169.175.194.174,2023-08-06 21:10:09,"('id': 665046, 'action': 'search', 'time': '2023-08-06 21:10:09')"
830230,,221.185.52.19,2023-11-18 14:13:53,"('id': 734265, 'action': 'search', 'time': '2023-11-18 14:13:53')"
46684,,99.160.176.85,2023-02-05 08:56:58,"('id': 105716, 'action': 'search', 'time': '2023-02-05 08:56:58')"
871014,,30.45.164.142,2023-11-28 07:51:38,"('id': 150188, 'action': 'search', 'time': '2023-11-28 07:51:38')"
360624,,252.198.42.154,2023-06-26 07:16:39,"('id': 839437, 'action': 'search', 'time': '2023-06-26 07:16:39')"
380968,,149.214.194.228,2023-07-04 11:40:45,"('id': 377354, 'action': 'search', 'time': '2023-07-04 11:40:45')"
949210,,237.59.17.227,2023-12-16 18:25:37,"('id': 227059, 'action': 'click', 'time': '2023-12-16 18:25:37')"
258480,,190.254.39.123,2023-05-15 12:28:38,"('id': 849994, 'action': 'click', 'time': '2023-05-15 12:28:38')"
294962,,141.216.233.142,2023-05-30 20:30:23,"('id': 412527, 'action': 'search', 'time': '2023-05-30 20:30:23')"
426828,12264.0,4.250.213.133,2023-07-22 19:18:13,"('id': 356181, 'action': 'click', 'time': '2023-07-22 19:18:13')"
282605,,124.153.52.188,2023-05-25 19:33:10,"('id': 108192, 'action': 'click', 'time': '2023-05-25 19:33:10')"
742322,,147.254.164.82,2023-10-26 07:01:27,"('id': 288864, 'action': 'search', 'time': '2023-10-26 07:01:27')"
461391,,44.132.18.72,2023-08-05 11:45:42,"('id': 37447, 'action': 'click', 'time': '2023-08-05 11:45:42')"
357028,,41.159.179.11,2023-06-24 22:11:53,"('id': 9145, 'action': 'search', 'time': '2023-06-24 22:11:53')"
645891,,112.227.175.66,2023-09-29 23:17:19,"('id': 522430, 'action': 'click', 'time': '2023-09-29 23:17:19')"
624236,67982.0,238.183.14.213,2023-09-24 15:15:10,"('id': 941922, 'action': 'search', 'time': '2023-09-24 15:15:10')"
303411,66049.0,240.78.58.206,2023-06-03 08:33:44,"('id': 732630, 'action': 'search', 'time': '2023-06-03 08:33:44')"
278230,,166.173.98.66,2023-05-24 00:20:33,"('id': 676446, 'action': 'search', 'time': '2023-05-24 00:20:33')"
33878,,20.6.242.24,2023-01-26 04:41:43,"('id': 137923, 'action': 'search', 'time': '2023-01-26 04:41:43')"
466168,19843.0,119.87.124.210,2023-08-07 05:14:54,"('id': 971645, 'action': 'search', 'time': '2023-08-07 05:14:54')"
540649,,85.43.157.122,2023-09-02 16:09:29,"('id': 853888, 'action': 'click', 'time': '2023-09-02 16:09:29')"
295236,,98.209.48.19,2023-05-30 22:55:20,"('id': 870781, 'action': 'search', 'time': '2023-05-30 22:55:20')"
689034,,93.40.253.84,2023-10-11 14:20:00,"('id': 105911, 'action': 'search', 'time': '2023-10-11 14:20:00')"
155559,,209.34.121.240,2023-04-01 20:34:38,"('id': 106697, 'action': 'click', 'time': '2023-04-01 20:34:38')"
737,12257.0,244.143.138.0,2021-01-23 10:55:44,"('id': 893497, 'action': 'search', 'time': '2021-01-23 10:55:44')"
470999,89584.0,186.174.223.99,2023-08-08 20:36:30,"('id': 412785, 'action': 'search', 'time': '2023-08-08 20:36:30')"
602306,,44.215.228.97,2023-09-18 21:19:49,"('id': 437492, 'action': 'search', 'time': '2023-09-18 21:19:49')"
411158,5597.0,189.45.201.155,2023-07-16 08:39:20,"('id': 616204, 'action': 'search', 'time': '2023-07-16 08:39:20')"
880074,,92.94.230.154,2023-11-30 16:24:33,"('id': 112625, 'action': 'search', 'time': '2023-11-30 16:24:33')"
742676,,220.204.20.235,2023-10-26 09:33:18,"('id': 702849, 'action': 'search', 'time': '2023-10-26 09:33:18')"
838640,,56.239.229.65,2023-11-20 18:28:23,"('id': 569806, 'action': 'click', 'time': '2023-11-20 18:28:23')"
278442,16097.0,152.17.82.157,2023-05-24 02:37:36,"('id': 898553, 'action': 'search', 'time': '2023-05-24 02:37:36')"
428111,,26.0.4.155,2023-07-23 07:09:19,"('id': 42872, 'action': 'search', 'time': '2023-07-23 07:09:19')"
85982,,225.131.33.175,2023-02-28 16:09:35,"('id': 403920, 'action': 'click', 'time': '2023-02-28 16:09:35')"
426635,,203.148.10.140,2023-07-22 18:14:55,"('id': 761201, 'action': 'search', 'time': '2023-07-22 18:14:55')"
202985,,179.202.13.80,2023-04-22 08:07:12,"('id': 242886, 'action': 'search', 'time': '2023-04-22 08:07:12')"
588481,,175.103.71.91,2023-09-15 10:21:29,"('id': 194862, 'action': 'search', 'time': '2023-09-15 10:21:29')"
600931,,57.159.240.158,2023-09-18 13:01:59,"('id': 985859, 'action': 'search', 'time': '2023-09-18 13:01:59')"
289904,60024.0,124.173.121.138,2023-05-28 20:00:56,"('id': 498762, 'action': 'search', 'time': '2023-05-28 20:00:56')"
316496,,233.192.58.43,2023-06-08 10:28:46,"('id': 647054, 'action': 'search', 'time': '2023-06-08 10:28:46')"
427023,,233.21.85.118,2023-07-22 20:56:24,"('id': 382735, 'action': 'search', 'time': '2023-07-22 20:56:24')"
255572,,71.28.148.201,2023-05-14 07:48:03,"('id': 219377, 'action': 'search', 'time': '2023-05-14 07:48:03')"
748274,,45.62.61.124,,"('id': 965045, 'action': 'search', 'time': '2023-10-28 00:18:15')"
472984,,112.111.107.106,,"('id': 678527, 'action': 'search', 'time': '2023-08-09 14:33:43')"
201593,,162.49.195.52,,"('id': 343596, 'action': 'search', 'time': '2023-04-21 17:51:09')"
620271,54160.0,236.247.23.49,2023-09-23 16:36:02,"('id': 683173, 'action': 'search', 'time': '2023-09-23 16:36:02')"
726217,,175.169.187.177,2023-10-21 19:30:18,"('id': 723648, 'action': 'search', 'time': '2023-10-21 19:30:18')"
478177,,154.133.81.254,2023-08-11 10:04:22,"('id': 41927, 'action': 'click', 'time': '2023-08-11 10:04:22')"
750531,14116.0,139.38.28.127,2023-10-28 17:25:22,"('id': 629704, 'action': 'click', 'time': '2023-10-28 17:25:22')"
936158,,80.148.162.143,2023-12-13 20:56:43,"('id': 885117, 'action': 'search', 'time': '2023-12-13 20:56:43')"
293788,9482.0,183.160.177.175,2023-05-30 09:39:15,"('id': 471400, 'action': 'search', 'time': '2023-05-30 09:39:15')"
553540,68133.0,125.23.158.77,2023-09-06 05:10:26,"('id': 834589, 'action': 'search', 'time': '2023-09-06 05:10:26')"
486228,,12.168.123.91,2023-08-14 10:01:18,"('id': 622804, 'action': 'search', 'time': '2023-08-14 10:01:18')"
687066,38904.0,141.123.62.27,2023-10-11 01:38:32,"('id': 196949, 'action': 'search', 'time': '2023-10-11 01:38:32')"
897616,10902.0,153.54.246.140,2023-12-05 03:12:06,"('id': 377282, 'action': 'search', 'time': '2023-12-05 03:12:06')"
1009623,,179.158.254.152,2023-12-30 15:18:14,"('id': 319772, 'action': 'click', 'time': '2023-12-30 15:18:14')"
603193,,139.230.145.231,2023-09-19 03:16:13,"('id': 204643, 'action': 'search', 'time': '2023-09-19 03:16:13')"
306356,5365.0,37.214.53.3,2023-06-04 12:37:10,"('id': 397175, 'action': 'search', 'time': '2023-06-04 12:37:10')"
590222,63584.0,195.67.135.32,2023-09-15 20:31:54,"('id': 294265, 'action': 'search', 'time': '2023-09-15 20:31:54')"
694527,,11.142.103.24,,"('id': 752051, 'action': 'click', 'time': '2023-10-12 23:32:02')"
86314,48488.0,15.190.104.239,2023-02-28 19:30:52,"('id': 367243, 'action': 'search', 'time': '2023-02-28 19:30:52')"
